order_id,customer_id,order_ts,status,quantity,unit_price
1,168,2024-12-09 15:06:14,COMPLETED,23,838.98
2,151,2025-01-18 04:19:47,PENDING,12,741.36
3,75,2023-04-25 23:31:46,COMPLETED,16,640.02
4,493,2023-05-12 12:40:35,REFUNDED,3,429.35
5,418,2025-05-24 04:36:37,REFUNDED,19,463.32
6,296,2025-07-07 22:23:51,PENDING,12,284.77
7,64,2024-04-12 07:27:23,COMPLETED,10,472.25
8,318,2024-02-02 22:16:29,COMPLETED,14,879.52
9,442,2023-11-28 17:48:34,COMPLETED,10,72.89
10,305,2025-07-01 04:06:44,COMPLETED,9,855.85
11,459,2025-02-23 20:47:00,COMPLETED,8,585.22
12,83,2024-11-14 07:05:30,PENDING,4,481.10
13,54,2023-01-19 20:14:39,CANCELLED,13,30.10
14,66,2024-12-01 15:08:46,COMPLETED,15,465.84
15,53,2023-12-18 11:58:36,COMPLETED,25,859.36
16,441,2025-04-25 10:03:49,PENDING,15,446.43
17,130,2024-01-02 22:52:21,COMPLETED,20,621.90
18,196,2025-03-29 19:32:31,PENDING,2,894.73
19,121,2023-08-11 19:10:04,COMPLETED,7,299.08
20,397,2024-08-20 22:38:16,PENDING,21,97.54
21,190,2023-07-26 01:02:21,CANCELLED,24,862.11
22,367,2023-04-25 09:27:20,CANCELLED,22,580.67
23,187,2024-07-13 12:42:08,COMPLETED,10,35.78
24,116,2024-11-05 23:40:33,COMPLETED,6,297.41
25,320,2024-03-04 20:15:31,REFUNDED,23,880.20
26,312,2024-01-14 21:42:51,CANCELLED,14,404.80
27,327,2023-06-12 20:56:26,CANCELLED,16,192.51
28,300,2023-09-29 05:04:24,PENDING,11,603.61
29,246,2024-03-24 18:17:11,COMPLETED,6,87.79
30,197,2025-09-24 18:31:20,PENDING,4,612.21
31,132,2025-06-03 01:29:32,REFUNDED,4,385.83
32,138,2023-03-13 22:04:44,REFUNDED,21,58.72
33,364,2024-05-22 01:42:06,COMPLETED,1,715.94
34,302,2024-02-17 18:52:55,CANCELLED,12,88.07
35,447,2025-01-21 10:10:20,CANCELLED,7,568.86
36,207,2023-11-29 05:52:44,COMPLETED,6,696.20
37,291,2023-07-10 14:23:19,COMPLETED,8,818.86
38,205,2023-03-18 19:02:30,COMPLETED,18,294.92
39,128,2024-11-01 12:59:52,PENDING,16,833.83
40,211,2025-03-18 18:16:24,CANCELLED,21,520.17
41,358,2023-03-26 08:28:37,CANCELLED,24,218.78
42,188,2025-07-19 00:13:39,CANCELLED,4,627.88
43,252,2023-12-16 20:24:25,REFUNDED,6,882.56
44,403,2024-06-05 10:56:22,COMPLETED,3,567.07
45,256,2023-02-13 03:16:21,COMPLETED,18,563.30
46,125,2023-08-23 23:13:50,CANCELLED,13,132.07
47,485,2024-05-28 22:06:31,COMPLETED,13,395.12
48,15,2023-09-23 21:24:51,CANCELLED,25,525.18
